timesteps,entropy,loss
15300.0,2.291517734527588,-0.0175583828240633
15390.0,2.2875373363494873,
15480.0,2.285038948059082,
15570.0,2.288033962249756,
15660.0,2.284623384475708,
15750.0,2.284287452697754,
15840.0,2.2896649837493896,
15930.0,2.2907824516296387,
16020.0,2.281775951385498,
16110.0,2.2865331172943115,
16200.0,2.2916128635406494,-0.012537881731987
16290.0,2.2882230281829834,
16380.0,2.284665584564209,
16470.0,2.2795464992523193,
16560.0,2.2839014530181885,
16650.0,2.284595489501953,
16740.0,2.287205219268799,
16830.0,2.2897791862487793,
16920.0,2.284775733947754,
17010.0,2.2866275310516357,
17100.0,2.2884600162506104,-0.010219085030257702
17190.0,2.28712797164917,
17280.0,2.282832622528076,
17370.0,2.2881617546081543,
17460.0,2.2814791202545166,
17550.0,2.2887768745422363,
17640.0,2.2829129695892334,
17730.0,2.283468723297119,
17820.0,2.286829710006714,
17910.0,2.2862672805786133,
18000.0,2.2894654273986816,-0.01590452529489994
18090.0,2.283026695251465,
18180.0,2.281360149383545,
18270.0,2.2815117835998535,
18360.0,2.2821855545043945,
18450.0,2.2870779037475586,
18540.0,2.28338885307312,
18630.0,2.2817583084106445,
18720.0,2.288166046142578,
18810.0,2.285776138305664,
18900.0,2.2842020988464355,-0.01683099754154682
18990.0,2.2856791019439697,
19080.0,2.284532070159912,
19170.0,2.284619092941284,
19260.0,2.282512664794922,
19350.0,2.2828547954559326,
19440.0,2.285153388977051,
19530.0,2.281806468963623,
19620.0,2.282697916030884,
19710.0,2.278470754623413,
19800.0,2.2849128246307373,0.00046341383131220937
19890.0,2.285904884338379,
19980.0,2.283918619155884,
20070.0,2.2830278873443604,
20160.0,2.282330274581909,
20250.0,2.280425548553467,
20340.0,2.285907506942749,
20430.0,2.2842202186584473,
20520.0,2.2797789573669434,
20610.0,2.286203622817993,
20700.0,2.2848572731018066,-0.009133053943514824
20790.0,2.28456974029541,
20880.0,2.283785104751587,
20970.0,2.2842838764190674,
21060.0,2.281202554702759,
21150.0,2.285597562789917,
21240.0,2.280571222305298,
21330.0,2.284553289413452,
21420.0,2.2834229469299316,
21510.0,2.2838356494903564,
21600.0,2.283182382583618,0.002137240720912814
21690.0,2.288078546524048,
21780.0,2.2871768474578857,
21870.0,2.2851998805999756,
21960.0,2.2848763465881348,
22050.0,2.285439968109131,
22140.0,2.286818027496338,
22230.0,2.287257671356201,
22320.0,2.2769856452941895,
22410.0,2.280344247817993,
22500.0,2.2875475883483887,-0.005712670274078846
